01/01/2022,Confraternização Universal,E
20/01/2022,São Sebastião,
28/02/2022,Carnaval,E 
01/03/2022,Carnaval,E 
02/03/2022,Carnaval,E 
15/04/2022,Sexta-feira Santa,
21/04/2022,Tiradentes,
23/04/2022,São Jorge,
01/05/2022,Dia do Trabalho,
16/06/2022,Corpus Christi,
07/09/2022,Independência do Brasil,
12/10/2022,Nossa Senhora Aparecida,
02/11/2022,Finados,
15/11/2022,Proclamação da República,
20/11/2022,Consciência Negra,
24/12/2022,Véspera de Natal,E
25/12/2022,Natal,E
31/12/2022,Véspera de Ano Novo,E
